timestamp,filename,file_path,audio_length_seconds,transcript
2025-08-19T16:08:05.493297,asr_base_2dd24741-ac6c-4828-a180-f7999414a917_e9fd5c4c-825e-4d67-9eb9-75d91eee5267.wav,./audio_files\asr_base_2dd24741-ac6c-4828-a180-f7999414a917_e9fd5c4c-825e-4d67-9eb9-75d91eee5267.wav,1.3,Hello?
2025-08-19T16:08:32.506549,asr_base_2dd24741-ac6c-4828-a180-f7999414a917_f393501b-c3bc-4975-b437-180013399835.wav,./audio_files\asr_base_2dd24741-ac6c-4828-a180-f7999414a917_f393501b-c3bc-4975-b437-180013399835.wav,1.44,And what do you need?
2025-08-19T16:09:03.361868,asr_base_2dd24741-ac6c-4828-a180-f7999414a917_51f643bf-75db-49ea-86cf-12cc6af1dd39.wav,./audio_files\asr_base_2dd24741-ac6c-4828-a180-f7999414a917_51f643bf-75db-49ea-86cf-12cc6af1dd39.wav,1.34,Please.
2025-08-19T16:09:50.764346,asr_base_2dd24741-ac6c-4828-a180-f7999414a917_a5959fd2-b383-4978-b770-d0e71563cf4a.wav,./audio_files\asr_base_2dd24741-ac6c-4828-a180-f7999414a917_a5959fd2-b383-4978-b770-d0e71563cf4a.wav,3.72,"That is. Next, normally,"
2025-08-19T16:10:42.086521,asr_base_2dd24741-ac6c-4828-a180-f7999414a917_335316a7-0d9f-4b04-99a6-b11d34259bc9.wav,./audio_files\asr_base_2dd24741-ac6c-4828-a180-f7999414a917_335316a7-0d9f-4b04-99a6-b11d34259bc9.wav,3.54,It is either not thick.
2025-08-19T16:12:53.206688,asr_base_48426c85-efe4-4f3b-aaa0-c2ec9e459858_7f2f5ae4-0b63-4414-927e-c22d500fd2a3.wav,./audio_files\asr_base_48426c85-efe4-4f3b-aaa0-c2ec9e459858_7f2f5ae4-0b63-4414-927e-c22d500fd2a3.wav,1.5,Hi.
2025-08-19T16:19:08.951171,asr_base_1f1f2a82-ae7a-4b5e-a6e2-777f9c9865dd_61f83a27-b8bc-4a41-a454-5b850b940499.wav,./audio_files\asr_base_1f1f2a82-ae7a-4b5e-a6e2-777f9c9865dd_61f83a27-b8bc-4a41-a454-5b850b940499.wav,2.16,Hello? You audible?
2025-08-19T16:30:05.123260,asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_5594908f-10b7-4d9f-b8fd-8ad06d7260eb.wav,./audio_files\asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_5594908f-10b7-4d9f-b8fd-8ad06d7260eb.wav,1.78,Hello?
2025-08-19T16:30:44.698403,asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_e127af3c-5a91-4d43-969a-b7001b65e894.wav,./audio_files\asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_e127af3c-5a91-4d43-969a-b7001b65e894.wav,2.64,Can you tell me a story?
2025-08-19T16:31:11.890809,asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_7b4f5d27-3844-444a-b25a-c68e55fd9f18.wav,./audio_files\asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_7b4f5d27-3844-444a-b25a-c68e55fd9f18.wav,3.08,Can you tell me another story?
2025-08-19T16:31:38.696327,asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_f0579c38-82db-4763-b250-0bd6e565889b.wav,./audio_files\asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_f0579c38-82db-4763-b250-0bd6e565889b.wav,3.5,Can you check latest weather condition?
2025-08-19T16:32:01.685691,asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_d9196c95-f1c2-4441-9d05-119d729b5126.wav,./audio_files\asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_d9196c95-f1c2-4441-9d05-119d729b5126.wav,3.2,Check latest international news.
2025-08-19T16:32:39.019435,asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_0d9cda5e-236a-4763-969e-a2f3558532c5.wav,./audio_files\asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_0d9cda5e-236a-4763-969e-a2f3558532c5.wav,3.0,Check latest Indian news.
2025-08-19T16:32:59.588526,asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_66aada81-95c9-4346-afc0-924b03d87a40.wav,./audio_files\asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_66aada81-95c9-4346-afc0-924b03d87a40.wav,4.58,"I am I'm feeling like this Indian new day. One of us, every day, it's the same."
2025-08-19T16:33:13.531243,asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_bedca933-3045-47b1-8123-00c85d027eb5.wav,./audio_files\asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_bedca933-3045-47b1-8123-00c85d027eb5.wav,4.34,Okay.
2025-08-19T16:33:17.278808,asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_0a84b574-8102-4e60-872a-c2731708b2c3.wav,./audio_files\asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_0a84b574-8102-4e60-872a-c2731708b2c3.wav,3.58,Do not say it loud.
2025-08-19T16:33:28.682311,asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_8a07647b-88dc-4f03-b800-0b9eaecf0f31.wav,./audio_files\asr_base_b1419915-959d-43c1-90d8-bac7f75613ae_8a07647b-88dc-4f03-b800-0b9eaecf0f31.wav,3.66,But this timing issue is a main issue. So
